Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL
"a ##-million-dollar lawsuit filed by superstar michael jackson against a us businessman over ownership of a bounty of jackson family memorabilia has been tossed out of court , documents showed wednesday .",judge tosses out michael jackson 's memorabilia lawsuit,"assistant
<think>

</think>

A $1 million lawsuit filed by Michael Jackson against a businessman over the ownership of family memorabilia was dismissed in court.","assistant
<think>

</think>

A $1 million lawsuit filed by Michael Jackson against a businessman over the ownership of family memorabilia was dismissed in court.",102,44,146,0.4412253762493492,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
us president george w. bush defied congress again wednesday as he placed a slew of controversial political allies in key defense and foreign policy posts in his administration by circumventing the requisite approval process in the senate .,bush defies congress names defense foreign policy posts,"<think>

</think>

President George W. Bush bypassed Senate approval to appoint controversial allies to key defense and foreign policy positions, defying Congress.","<think>

</think>

President George W. Bush bypassed Senate approval to appoint controversial allies to key defense and foreign policy positions, defying Congress.",106,40,146,0.4412253762493492,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"oil prices were slightly easier in asian trade thursday , marking time ahead of key us stockpile figures and after resolution of the russia-ukraine gas pricing dispute , dealers said .",oil prices were easier in asian trade,":
assistant
<think>

</think>

Oil prices eased slightly in Asian trade on Thursday ahead of key US stockpile data and following the resolution of the Russia-Ukraine gas pricing dispute.",":
assistant
<think>

</think>

Oil prices eased slightly in Asian trade on Thursday ahead of key US stockpile data and following the resolution of the Russia-Ukraine gas pricing dispute.",100,46,146,0.4412253762493492,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"us veteran and eight-time grand slam winner andre agassi has withdrawn from this month 's australian open due to a nagging ankle injury , his management team announced thursday .",agassi withdraws from australian open,"Summary:
assistant
<think>

</think>

Andre Agassi withdrew from the Australian Open due to a nagging ankle injury.","Summary:
assistant
<think>

</think>

Andre Agassi withdrew from the Australian Open due to a nagging ankle injury.",99,47,146,0.4412253762493492,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"japanese share prices rose #.## percent in morning trade thursday to hit their highest level in more than five years as fresh gains on wall street fanned upbeat investor sentiment , dealers said .",tokyo shares rise #.## percent in morning trade,"assistant
<think>

</think>

Japanese share prices rose to their highest level in over five years on Thursday, driven by Wall Street gains and improved investor sentiment.","assistant
<think>

</think>

Japanese share prices rose to their highest level in over five years on Thursday, driven by Wall Street gains and improved investor sentiment.",102,44,146,0.4412253762493492,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"a securities firm in tokyo said thursday that one of its traders had mistakenly bought #,### times more shares in a company than intended in the latest botched trade to hit asia 's largest bourse .",another botched trade on tokyo stock market,"</think>

A Tokyo securities firm reported that a trader accidentally purchased thousands of times more shares than intended, marking the latest trading error to affect Asia's largest stock exchange.","</think>

A Tokyo securities firm reported that a trader accidentally purchased thousands of times more shares than intended, marking the latest trading error to affect Asia's largest stock exchange.",107,39,146,0.4412253762493492,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"researchers in australia said thursday they had grown new breasts in mice after discovering the stem cell responsible for UNK tissue , a find which could pave the way for new treatments for breast cancer .",scientists locate stem cell which may hold secrets of breast cancer,"assistant
<think>

</think>

Australian researchers discovered the stem cell responsible for breast tissue, enabling them to grow new breasts in mice and potentially paving the way for new breast cancer treatments.","assistant
<think>

</think>

Australian researchers discovered the stem cell responsible for breast tissue, enabling them to grow new breasts in mice and potentially paving the way for new breast cancer treatments.",102,44,146,0.4412253762493492,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"doctors are at the final stages of an operation on israeli prime minister ariel sharon to remove blood from his brain following a massive stroke , a hospital spokesman said thursday .",doctors at final stages of sharon surgery,":
assistant
<think>

</think>

Doctors are nearing the completion of an operation to remove blood from Israeli Prime Minister Ariel Sharon's brain following a massive stroke.",":
assistant
<think>

</think>

Doctors are nearing the completion of an operation to remove blood from Israeli Prime Minister Ariel Sharon's brain following a massive stroke.",100,46,146,0.4412253762493492,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"the world 's largest chipmaker intel has asked the vietnamese government for a license to build a chip plant worth ### million dollars in southern ho chi minh city , a government official said thursday .",intel to invest ### mln dlr in chip plant in vietnam,"assistant
<think>

</think>

Intel has requested a license from the Vietnamese government to construct a $### million chip plant in southern Ho Chi Minh City.","assistant
<think>

</think>

Intel has requested a license from the Vietnamese government to construct a $### million chip plant in southern Ho Chi Minh City.",103,43,146,0.4412253762493492,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"an intrepid british oarsman 's bid to row round antarctica ended after just ## kilometres -lrb- ## miles -rrb- when he unexpectedly collided with the falkland islands , british newspapers reported thursday .",british UNK UNK crashes after ## km,A British oarsman's attempt to row around Antarctica ended prematurely after he unexpectedly collided with the Falkland Islands.,A British oarsman's attempt to row around Antarctica ended prematurely after he unexpectedly collided with the Falkland Islands.,110,36,146,0.4412253762493492,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"malaysian experts say they may have discovered a new species of UNK , the world 's largest flower which is famous for its putrid smell , according to a report thursday .",malaysia probes possible new species of world 's largest flower,"<think>

</think>

Malaysian experts may have discovered a new species of the world's largest flower, known for its foul odor.","<think>

</think>

Malaysian experts may have discovered a new species of the world's largest flower, known for its foul odor.",101,44,145,0.48527706824825145,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"india , rather than china , is viewed as the sleeping giant of the golf world with huge scope for development , asian tour chief executive louis martin said .",india more than china seen as sleeping giant of golf world,"Summary:
assistant
<think>

</think>

Louis Martin, chief executive of the Asian Tour, stated that India is seen as the ""sleeping giant"" of the golf world with significant potential for development, rather than China.","Summary:
assistant
<think>

</think>

Louis Martin, chief executive of the Asian Tour, stated that India is seen as the ""sleeping giant"" of the golf world with significant potential for development, rather than China.",94,51,145,0.48527706824825145,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"police in one of china 's major cities are up in arms over a new order to disclose many details of their private lives as part of efforts to fight corruption , state press reported thursday .",chinese police angry over new privacy laws,"</think>

Chinese police in a major city are protesting a new order requiring them to disclose personal details as part of anti-corruption efforts.","</think>

Chinese police in a major city are protesting a new order requiring them to disclose personal details as part of anti-corruption efforts.",103,42,145,0.48527706824825145,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
veteran nick faldo is hoping that some of his legendary matchplay expertise rubs off on several of his UNK european teammates as they battle asia in the first royal trophy this weekend .,matchplay maestro faldo comes in from the cold for royal trophy,"</think>

Veteran Nick Faldo hopes to share his matchplay expertise with his European teammates as they face Asia in the first Royal Trophy this weekend.","</think>

Veteran Nick Faldo hopes to share his matchplay expertise with his European teammates as they face Asia in the first Royal Trophy this weekend.",102,43,145,0.48527706824825145,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"four-time australian open champion andre agassi succumbed to a long-standing ankle injury and officially withdrew from the first grand slam event of the year , his management company said thursday .",agassi pulls out of australian open nadal in doubt,"<think>

</think>

Andre Agassi officially withdrew from the first Grand Slam of the year due to a long-standing ankle injury.","<think>

</think>

Andre Agassi officially withdrew from the first Grand Slam of the year due to a long-standing ankle injury.",100,45,145,0.48527706824825145,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"israeli prime minister ariel sharon will remain in the operating theater for several more hours and is in a `` serious situation '' after suffering a massive stroke , a hospital spokesman said thursday .",sharon to remain in surgery for several hours,"</think>

Israeli Prime Minister Ariel Sharon remains in a serious condition in the operating theater following a massive stroke.","</think>

Israeli Prime Minister Ariel Sharon remains in a serious condition in the operating theater following a massive stroke.",103,42,145,0.48527706824825145,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"devastating blizzards have forced the evacuation of ##,### people in a largely muslim region of western china , a government official said thursday .","blizzards force evacuation of ##,### people in muslim part of china","Summary:
assistant
<think>

</think>

Devastating blizzards have forced the evacuation of thousands of people in a largely Muslim region of western China.","Summary:
assistant
<think>

</think>

Devastating blizzards have forced the evacuation of thousands of people in a largely Muslim region of western China.",94,51,145,0.48527706824825145,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"new zealand and sri lanka have an eye on future targets going into their fourth one-day international here friday , with new zealand having already wrapped up the five-match series .",new zealand sri lanka looks to future goals,"<think>

</think>

New Zealand and Sri Lanka are focused on future targets as they begin their fourth one-day international, with New Zealand having already completed the five-match series.","<think>

</think>

New Zealand and Sri Lanka are focused on future targets as they begin their fourth one-day international, with New Zealand having already completed the five-match series.",100,45,145,0.48527706824825145,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"gunmen shot dead seven tribesmen thursday in a restive tribal region along the pakistan-afghanistan border where the military is hunting al-qaeda-linked militants , officials said .",seven tribesmen shot dead in pakistani tribal area,"<think>

</think>

Seven tribesmen were killed by gunmen Thursday in a restive border region between Pakistan and Afghanistan, where military forces are currently hunting al-Qaeda-linked militants.","<think>

</think>

Seven tribesmen were killed by gunmen Thursday in a restive border region between Pakistan and Afghanistan, where military forces are currently hunting al-Qaeda-linked militants.",100,45,145,0.48527706824825145,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"thailand will discuss lifting its ban on us beef , imposed two years ago over mad cow fears , when negotiators from the two nations meet next week for free trade talks , health officials said thursday .",thailand may lift ban on us beef,"Thai health officials stated that the two nations will discuss lifting the two-year-old ban on US beef, imposed due to mad cow fears, during upcoming free trade negotiations.","Thai health officials stated that the two nations will discuss lifting the two-year-old ban on US beef, imposed due to mad cow fears, during upcoming free trade negotiations.",104,41,145,0.48527706824825145,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"floods , typhoons and other natural disasters killed #,### people in china last year , the highest casualty figure since #### , a top government official said thursday .","natural disasters claim #,### lives in china in #### four-year high","assistant
<think>

</think>

A top Chinese government official stated that floods, typhoons, and other natural disasters caused the highest number of casualties since 2008, killing thousands of people last year.","assistant
<think>

</think>

A top Chinese government official stated that floods, typhoons, and other natural disasters caused the highest number of casualties since 2008, killing thousands of people last year.",99,46,145,0.48527706824825145,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
australian fast bowler glenn mcgrath was facing his sixth disciplinary hearing in eight years thursday after being reported by the match umpires in the third test against south africa here .,mcgrath reported for obscene behavior in third test,"</think>

Australian fast bowler Glenn McGrath faced his sixth disciplinary hearing in eight years on Thursday after being reported by match umpires during the third Test against South Africa.","</think>

Australian fast bowler Glenn McGrath faced his sixth disciplinary hearing in eight years on Thursday after being reported by match umpires during the third Test against South Africa.",102,43,145,0.48527706824825145,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"australian share prices closed #.## percent lower thursday as investors took some modest profits after a series of record breaking performances , dealers said .",australian shares slip on profit-taking,"Summary:
assistant
<think>

</think>

Australian share prices fell slightly on Thursday as investors took modest profits following a series of record-breaking performances.","Summary:
assistant
<think>

</think>

Australian share prices fell slightly on Thursday as investors took modest profits following a series of record-breaking performances.",93,52,145,0.48527706824825145,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"another cambodian rights activist was charged thursday with defaming prime minister hun sen , as critics warned the country would become a pariah state if it continued to crush dissent .",third cambodian rights activist charged with defaming pm hun sen,"assistant
<think>

</think>

A Cambodian rights activist was charged with defaming Prime Minister Hun Sen, prompting critics to warn that the country risks becoming a pariah state for suppressing dissent.","assistant
<think>

</think>

A Cambodian rights activist was charged with defaming Prime Minister Hun Sen, prompting critics to warn that the country risks becoming a pariah state for suppressing dissent.",98,47,145,0.48527706824825145,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
the netherlands was gifted a berth in the final of the hopman cup mixed teams tennis tournament on thursday after german star nicolas kiefer pulled out of their group b tie here with back spasms .,netherlands reach hopman cup final after kiefer pulls out,The Netherlands advanced to the Hopman Cup final after German player Nicolas Kiefer withdrew from their match due to back spasms.,The Netherlands advanced to the Hopman Cup final after German player Nicolas Kiefer withdrew from their match due to back spasms.,105,40,145,0.48527706824825145,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"the dollar regained some lost ground in asian trade thursday in what was seen as a largely technical rebound after weakness prompted by expectations of a shift in us interest rate policy , dealers said .",dollar regains ground but remains under pressure in asian trade,"<think>

</think>

The dollar recovered some losses in Asian trade on Thursday, marking a technical rebound following earlier weakness driven by expectations of a shift in U.S. interest rate policy.","<think>

</think>

The dollar recovered some losses in Asian trade on Thursday, marking a technical rebound following earlier weakness driven by expectations of a shift in U.S. interest rate policy.",100,45,145,0.48527706824825145,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"japanese share prices rose #.## percent thursday to UNK highest closing high for more than five years as fresh gains on wall street fanned upbeat investor sentiment , dealers said .",tokyo shares close up #.## percent,".

Summary:
assistant
<think>

</think>

Japanese share prices rose to their highest level in over five years on Thursday, driven by positive investor sentiment following gains on Wall Street.",".

Summary:
assistant
<think>

</think>

Japanese share prices rose to their highest level in over five years on Thursday, driven by positive investor sentiment following gains on Wall Street.",100,52,152,0.4790159449366911,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"former world number four jelena dokic has been forced out of next week 's canberra international with an adductor injury which was aggravated in auckland this week , organisers said thursday .",injured dokic out of canberra international,"Summary:
assistant
<think>

</think>

Jelena Dokic, a former world number four, has been ruled out of the upcoming Canberra International due to an aggravated adductor injury sustained in Auckland.","Summary:
assistant
<think>

</think>

Jelena Dokic, a former world number four, has been ruled out of the upcoming Canberra International due to an aggravated adductor injury sustained in Auckland.",102,50,152,0.4790159449366911,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
rain forced the fourth day 's play to be abandoned at #:## pm -lrb- #### gmt -rrb- in the third test between australia and south africa at the sydney cricket ground on thursday .,play abandoned for the day in third test due to rain,"<think>

</think>

Rain caused the abandonment of the fourth day of the third Test match between Australia and South Africa at the Sydney Cricket Ground.","<think>

</think>

Rain caused the abandonment of the fourth day of the third Test match between Australia and South Africa at the Sydney Cricket Ground.",108,44,152,0.4790159449366911,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"the death toll from flash floods that devastated villages in indonesia 's east java province has risen to ## , police said thursday .",indonesian flood death toll rises to ##,"java province has risen to ## , police said thursday .

Summary:
assistant
<think>

</think>

Police reported that the death toll from flash floods in East Java, Indonesia, has risen to an unspecified number.","java province has risen to ## , police said thursday .

Summary:
assistant
<think>

</think>

Police reported that the death toll from flash floods in East Java, Indonesia, has risen to an unspecified number.",89,63,152,0.4790159449366911,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
lebanese newspapers warned thursday that israel faced a period of political turmoil with prime minister ariel sharon fighting for his life after suffering a massive brain hemorrhage .,lebanon warns of strife with sharon at death 's door,"brain hemorrhage .

Summary:
assistant
<think>

</think>

Lebanese newspapers warned that Israel faces political turmoil as Prime Minister Ariel Sharon battles for his life following a massive brain hemorrhage.","brain hemorrhage .

Summary:
assistant
<think>

</think>

Lebanese newspapers warned that Israel faces political turmoil as Prime Minister Ariel Sharon battles for his life following a massive brain hemorrhage.",97,55,152,0.4790159449366911,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"a second person has died from bird flu at a hospital in eastern turkey , a doctor there said thursday .",turkey reports second death from bird flu,"bird flu at a hospital in eastern turkey , a doctor there said thursday .

Summary:
assistant
<think>

</think>

A doctor in eastern Turkey reported a second death from bird flu at a local hospital on Thursday.","bird flu at a hospital in eastern turkey , a doctor there said thursday .

Summary:
assistant
<think>

</think>

A doctor in eastern Turkey reported a second death from bird flu at a local hospital on Thursday.",85,67,152,0.4790159449366911,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"vince young scampered eight yards for a touchdown with ## seconds left , lifting second-ranked texas to a ##-## win over usc to give the longhorns their first national championship since #### .",longhorns lasso usc to win first national title in ## years,"Summary:
assistant
<think>

</think>

Vince Young scored a touchdown with seconds remaining, leading second-ranked Texas to a victory over USC and securing the Longhorns' first national championship since 1969.","Summary:
assistant
<think>

</think>

Vince Young scored a touchdown with seconds remaining, leading second-ranked Texas to a victory over USC and securing the Longhorns' first national championship since 1969.",102,50,152,0.4790159449366911,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"the final results of iraq 's december general elections are due within the next four days , a member of the iraqi electoral commission said on thursday .",iraqi election final results out within four days,"said on thursday .

Summary:
assistant
<think>

</think>

Iraqi electoral commission member states final results of December general elections expected within four days.","said on thursday .

Summary:
assistant
<think>

</think>

Iraqi electoral commission member states final results of December general elections expected within four days.",96,56,152,0.4790159449366911,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
israeli deputy prime minister ehud olmert was chairing an emergency cabinet meeting thursday as prime minister ariel sharon was battling for his life in a jerusalem hospital .,olmert chairs emergency israeli cabinet meeting,".

Summary:
assistant
<think>

</think>

Israeli Deputy Prime Minister Ehud Olmert chaired an emergency cabinet meeting on Thursday while Prime Minister Ariel Sharon fought for his life in a Jerusalem hospital.",".

Summary:
assistant
<think>

</think>

Israeli Deputy Prime Minister Ehud Olmert chaired an emergency cabinet meeting on Thursday while Prime Minister Ariel Sharon fought for his life in a Jerusalem hospital.",100,52,152,0.4790159449366911,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
hopman cup director paul mcnamee has given the electronic `` hawk-eye '' line-calling system the thumbs up after it was used for the first time in an elite-level event here this week .,hopman cup boss gives hawk-eye a nod and a wink,":
assistant
<think>

</think>

Hopman Cup director Paul McNamee has approved the use of the electronic ""Hawk-Eye"" line-calling system after its debut at an elite-level event.",":
assistant
<think>

</think>

Hopman Cup director Paul McNamee has approved the use of the electronic ""Hawk-Eye"" line-calling system after its debut at an elite-level event.",103,49,152,0.4790159449366911,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
israel 's media declared an end thursday to the tumultuous ariel sharon era as the prime minister lay fighting for his life after suffering a massive brain UNK .,israeli media declare end to sharon era,"K .

Summary:
assistant
<think>

</think>

Israel's media announced the end of Ariel Sharon's tumultuous era as the former prime minister fought for his life following a massive brain hemorrhage.","K .

Summary:
assistant
<think>

</think>

Israel's media announced the end of Ariel Sharon's tumultuous era as the former prime minister fought for his life following a massive brain hemorrhage.",99,53,152,0.4790159449366911,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"the philippine government said thursday it wants a `` swift resolution '' of journalists ' murders , after a global press watchdog said the country was the world 's deadliest place for journalists next to iraq in #### .",philippines vows swift resolution of press murders,"assistant
<think>

</think>

The Philippine government called for a swift resolution to journalists' murders after a global press watchdog ranked the country as the world's deadliest for journalists, second only to Iraq.","assistant
<think>

</think>

The Philippine government called for a swift resolution to journalists' murders after a global press watchdog ranked the country as the world's deadliest for journalists, second only to Iraq.",107,45,152,0.4790159449366911,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"south korea is to build up its submarine fleet by increasing the number of vessels and boosting their capability , the defense ministry said thursday .",south korea to build up submarine fleet,"their capability , the defense ministry said thursday .

Summary:
assistant
<think>

</think>

South Korea plans to expand and enhance its submarine fleet, according to the Defense Ministry.","their capability , the defense ministry said thursday .

Summary:
assistant
<think>

</think>

South Korea plans to expand and enhance its submarine fleet, according to the Defense Ministry.",91,61,152,0.4790159449366911,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"basf , the world 's biggest chemicals company , prefers that its planned takeover of us firm engelhard was a friendly rather than a hostile move , basf chairman juergen hambrecht said in a newspaper interview published on thursday .",basf prefers friendly takeover of us firm engelhard,"</think>

BasF Chairman Juergen Hambrecht stated that the company prefers its planned takeover of US firm Engelhard to be friendly rather than hostile.","</think>

BasF Chairman Juergen Hambrecht stated that the company prefers its planned takeover of US firm Engelhard to be friendly rather than hostile.",110,42,152,0.4790159449366911,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"dubai came to a halt on thursday as the emirate prepared for the funeral of its ruler sheikh maktoum bin rashed al-maktoum , who died wednesday of natural causes while on a visit to australia .",dubai to bury uae vice president maktoum,"Dubai halted operations on Thursday to prepare for the funeral of Sheikh Maktoum bin Rashed al-Maktoum, who died of natural causes in Australia.","Dubai halted operations on Thursday to prepare for the funeral of Sheikh Maktoum bin Rashed al-Maktoum, who died of natural causes in Australia.",113,39,152,0.4790159449366911,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"retail sales in germany fell in november , underlining the ongoing fragility of consumer sentiment in the eurozone 's biggest economy , data showed on thursday .",german retail sales down in november,"showed on thursday .

Summary:
assistant
<think>

</think>

German retail sales fell in November, highlighting persistent consumer sentiment fragility in the eurozone's largest economy.","showed on thursday .

Summary:
assistant
<think>

</think>

German retail sales fell in November, highlighting persistent consumer sentiment fragility in the eurozone's largest economy.",96,56,152,0.4790159449366911,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"international aid agencies on thursday stepped up appeals for urgent intervention in drought-hit northern kenya , warning of mass starvation in the region where at least ## people have already died of hunger and related illness amid fears of a major famine .",aid groups sound famine disaster warning for northern kenya,"International aid agencies urgently appealed for intervention in drought-stricken northern Kenya on Thursday, warning of mass starvation after at least ## people have already died from hunger and related illnesses amid fears of a major famine.","International aid agencies urgently appealed for intervention in drought-stricken northern Kenya on Thursday, warning of mass starvation after at least ## people have already died from hunger and related illnesses amid fears of a major famine.",109,43,152,0.5098101495095761,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"american skeleton coach tim nardiello wo n't travel with his athletes to a competition in europe next week , the new york times reported on wednesday .",american skeleton coach wo n't travel with team,"wednesday .

Summary:
assistant
<think>

</think>

New York Times reported that American skeleton coach Tim Nardiello will not travel to a European competition next week with his athletes.","wednesday .

Summary:
assistant
<think>

</think>

New York Times reported that American skeleton coach Tim Nardiello will not travel to a European competition next week with his athletes.",94,58,152,0.5098101495095761,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"britain 's top swimming coach bill sweetenham , who was cleared by an independent investigation of bullying members of the british team , still has questions to answer his employers when he returns at the end of the month .",cleared UNK facing another grilling from british swim bosses,"</think>

Despite being cleared of bullying charges by an independent investigation, British swimming coach Bill Sweetenham must still answer questions from his employers upon his return at the end of the month.","</think>

Despite being cleared of bullying charges by an independent investigation, British swimming coach Bill Sweetenham must still answer questions from his employers upon his return at the end of the month.",107,45,152,0.5098101495095761,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"israeli prime minister ariel sharon remains in a serious but stable condition after undergoing surgery following a massive brain hemorrhage , a hospital spokesman said thursday .",sharon still in serious condition after surgery,".

Summary:
assistant
<think>

</think>

Israeli Prime Minister Ariel Sharon is in serious but stable condition following surgery for a massive brain hemorrhage.",".

Summary:
assistant
<think>

</think>

Israeli Prime Minister Ariel Sharon is in serious but stable condition following surgery for a massive brain hemorrhage.",96,56,152,0.5098101495095761,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782

metric,value
task,summarization
strategy,cot
model,qwen3_5_9b
dataset,gigaword
num_samples,100
acc,0.24933150234789514
rouge1,0.24933150234789514
rouge2,0.08775163453270597
rougeL,0.22548630709265782
metric_backend,rouge_score
total_input_tokens,9960
total_output_tokens,4776
total_tokens,14736
total_runtime_sec,46.56956583401188
avg_input_tokens,99.6
avg_output_tokens,47.76
avg_total_tokens,147.36
avg_runtime_sec,0.46569565834011883
